Daily Weather History & Observations
2017	Temp. (°F)	Dew Point (°F)	Humidity (%)	Sea Level Press. (in)	Visibility (mi)	Wind (mph)	Precip. (in)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	73	63	53	60	52	39	97	74	43	29.93	29.85	29.79	10	8	0	7	2	-	0.00	Fog
2	73	64	52	62	54	44	100	79	38	29.96	29.85	29.75	10	8	1	15	5	25	0.40	Rain , Thunderstorm
3	75	60	44	44	39	31	80	52	24	30.18	30.04	29.95	10	10	10	12	4	23	0.00	 
4	48	42	37	31	28	24	68	58	48	30.24	30.13	29.97	10	10	10	10	6	17	0.00	 
5	62	49	34	47	35	18	79	64	50	30.12	29.96	29.87	10	10	7	15	4	28	0.00	 
6	34	29	23	18	15	13	60	55	49	30.60	30.31	30.12	10	10	10	17	10	28	0.00	 
7	44	32	19	13	11	6	73	48	22	30.83	30.74	30.61	10	10	10	12	4	21	0.00	 
8	53	37	21	32	18	11	81	50	19	30.78	30.64	30.49	10	10	10	14	4	22	0.00	 
9	71	57	43	55	47	35	89	69	49	30.46	30.30	30.12	10	10	10	15	5	27	0.00	 
10	79	69	59	58	56	53	90	66	42	30.09	30.02	29.96	10	10	10	17	7	35	0.00	 
11	80	70	59	63	60	57	93	72	51	30.03	29.95	29.87	10	10	9	16	8	29	0.00	 
12	81	74	67	65	63	59	87	70	52	30.16	30.04	29.95	10	10	7	14	8	26	0.00	 
13	78	67	56	69	63	51	100	74	48	30.36	30.25	30.15	10	8	0	14	7	24	0.65	Fog , Rain
14	56	52	47	51	50	46	100	92	83	30.41	30.33	30.27	9	3	1	8	4	13	0.07	Rain
15	73	62	51	66	59	50	100	87	73	30.25	30.01	29.84	10	4	1	17	5	29	0.61	Rain , Thunderstorm
16	70	64	58	61	56	51	97	78	58	30.05	29.97	29.91	10	9	1	9	1	16	0.30	Rain , Thunderstorm
17	59	54	48	55	48	46	100	86	72	30.19	30.11	30.03	10	7	0	14	6	22	1.57	Fog , Rain , Thunderstorm
18	56	52	47	52	48	46	100	93	86	30.13	30.09	29.99	10	8	2	9	4	14	0.51	Rain , Thunderstorm
19	71	62	52	55	52	50	100	79	57	29.99	29.83	29.70	10	10	10	12	3	18	T	Rain
20	76	62	47	55	50	46	93	66	38	29.84	29.74	29.65	10	9	5	8	1	11	0.00	 
21	81	65	48	58	51	33	100	62	23	29.63	29.58	29.42	10	7	0	21	6	38	0.02	Fog
22	70	62	53	42	34	27	47	38	28	29.99	29.75	29.56	10	10	10	24	11	43	0.00	 
23	76	61	46	39	36	34	65	44	23	30.06	29.94	29.83	10	10	10	10	4	16	0.00	 
24	84	67	50	64	51	36	87	62	37	29.80	29.71	29.61	10	10	10	14	7	25	0.00	 
25	69	59	48	63	36	27	84	53	22	30.17	29.92	29.73	10	10	10	15	7	24	0.00	 
26	59	50	40	30	27	24	64	46	28	30.37	30.27	30.17	10	10	10	10	3	14	0.00	 
27	58	48	38	30	24	21	70	48	26	30.42	30.35	30.29	10	10	10	13	5	19	0.00	 
28	61	50	39	37	31	21	82	52	22	30.43	30.35	30.27	10	10	10	14	6	22	T	Rain
29	70	55	40	34	30	28	65	44	22	30.40	30.32	30.28	10	10	10	14	6	22	0.00	 
30	79	63	47	35	30	26	61	38	15	30.29	30.19	30.10	10	10	10	12	5	18	0.00	 
31	78	61	44	50	36	29	67	44	21	30.11	30.03	29.96	10	10	10	13	4	21	0.00
